hanzi,pinyin,english,hsk_level,category,frequency_rank
真,zhēn,"really, truly; real",3,Adjective,132
真,zhēn,"really, truly; real",2,Adverb,132
真,zhēn,"really, truly; real",3,Adverb,132
但是,dànshì,but,2,Conjunction,134
但是,dànshì,but,4,Conjunction,134
学生,xuéshēng,student,1,Noun,135
跟,gēn,"and, with",3,Preposition,139
所以,suǒyǐ,"so, therefore",2,Conjunction,141
第一,dì-yī,"number one, the first",2,Numeral,142
当,dāng,at the time of,4,Preposition,143
觉得,juéde,to think; to feel,2,Verb,149
怎么,zěnme,how,1,Interrogative Pronoun,150
生活,shēnghuó,life,4,Noun,152
生活,shēnghuó,to live,4,Verb,152
孩子,háizi,child,2,Noun,154
起来,qǐlái,to get up; upward,3,Verb,155
听,tīng,to listen (to),1,Verb,158
一样,yīyàng,the same (as),3,Adjective,159
叫,jiào,"to call, to be called",1,Verb,160
大家,dàjiā,everyone,2,Personal Pronoun,161
可能,kěnéng,"maybe, might; possible",2,Auxiliary Verb,163
本,běn,[measure word for books],1,Measure Word,164
比,bǐ,"to compare, to compete; [particle for comparisons]",2,Preposition,165
您,nín,you (polite form),2,Personal Pronoun,166
钱,qián,money,1,Noun,167
钱,qián,money,3,Noun,167
高,gāo,"tall, high",2,Adjective,170
太,tài,too,1,Adverb,171
那么,nàme,"like that, in that way; in that case",3,Demonstrative Pronoun,173
爱,ài,to love,1,Verb,174
位,wèi,[polite measure word for people],3,Measure Word,176
找,zhǎo,to look for; to call on someone,2,Verb,177
长,cháng,long,2,Adjective,178
长,zhǎng,to grow,3,Verb,178
喜欢,xǐhuān,to like,1,Verb,179
笑,xiào,"to laugh, to smile",2,Verb,184
东西,dōngxi,thing,1,Noun,187
东西,dōngxi,thing,3,Noun,187
谁,shéi,who,1,Interrogative Pronoun,188
北京,Běijīng,Beijing,1,Noun,189
买,mǎi,to buy,1,Verb,190
二,èr,two,1,Numeral,192
使,shǐ,"to make, to cause",3,Verb,193
使,shǐ,"to make, to cause",4,Verb,193
写,xiě,to write,1,Verb,195
条,tiáo,[measure word for long things],3,Measure Word,196
四,sì,four,1,Numeral,198
一起,yīqǐ,together,2,Adverb,199
由,yóu,by way of; by,4,Preposition,202
地方,dìfang,place,3,Noun,203
应该,yīnggāi,"should, ought to",3,Auxiliary Verb,204
应该,yīnggāi,"ought to, should",3,Verb,204
请,qǐng,please,1,Verb,205
请,qǐng,"to invite, to request, to treat (to a meal, etc.); please",3,Verb,205
非常,fēicháng,"very, extremely",2,Adverb,206
发现,fāxiàn,to find; to discover,3,Verb,207
不过,bùguò,"but, yet",4,Conjunction,208
今天,jīntiān,today,1,Noun,209
带,dài,to carry,3,Verb,210
这么,zhème,"so much, this much",3,Demonstrative Pronoun,211
岁,suì,years old,1,Measure Word,213
世界,shìjiè,world,3,Noun,214
坐,zuò,to sit,1,Verb,215
然后,ránhòu,and then,3,Conjunction,216
一定,yīdìng,definitely,3,Adverb,217
可是,kěshì,but,4,Conjunction,219
进行,jìnxíng,"to advance, to conduct, to carry on (a plan of action)",4,Verb,220
一直,yīzhí,continuously; straight (forward),3,Adverb,221
公司,gōngsī,"company, corporation; office",2,Noun,222
张,zhāng,[measure word for flat things],3,Measure Word,224
而且,érqiě,"in addition, furthermore",3,Conjunction,225
便,biàn,soon afterwards,5,Adverb,226
需要,xūyào,to need,3,Verb,227
朋友,péngyou,friend,1,Noun,228
国家,guójiā,"country, nation",3,Noun,231
只有,zhǐyǒu,only (if),3,Conjunction,232
万,wàn,ten thousand,3,Numeral,233
所有,suǒyǒu,all,4,Adjective,234
分,fēn,a unit of money (equal to 1/100 yuan),3,Measure Word,235
分,fēn,"to divide, to separate",3,Verb,235
个人,gèrén,"personal, individual",5,Noun,236
发展,fāzhǎn,"to develop, to grow, to expand",4,Verb,238
最后,zuìhòu,last,3,Noun,239
为了,wèile,"for the purpose of, in order to",3,Preposition,240
开,kāi,to open,1,Verb,241
告诉,gàosu,"to tell, to inform",2,Verb,243
认为,rènwéi,to believe; to think,3,Verb,244
书,shū,book,1,Noun,245
书,shū,book,3,Noun,245
学校,xuéxiào,school,1,Noun,247
老师,lǎoshī,teacher,1,Noun,248
学习,xuéxí,to study,1,Verb,249
学习,xuéxí,to learn; to study,3,Verb,249
老,lǎo,old,3,Adjective,252
以后,yǐhòu,"after, later on, in the future",3,Noun,253
虽然,suīrán,although,2,Conjunction,254
虽然,suīrán,although,3,Conjunction,254
拿,ná,"to get, to pick up",3,Verb,255
当时,dāngshí,at that time,4,Noun,256
情况,qíngkuàng,"situation, circumstances",4,Noun,257
站,zhàn,"to stand; station, stop",3,Verb,258
社会,shèhuì,society,4,Noun,261
比较,bǐjiào,to compare; comparatively,3,Adverb,262
先,xiān,"first, in advance",3,Adverb,264
希望,xīwàng,"to hope, to wish",2,Noun,267
内,nèi,"in, within",4,Noun,269
为什么,wèishénme,why,2,Interrogative Pronoun,270
件,jiàn,[measure word],2,Measure Word,271
感觉,gǎnjué,"sense perception; sensation, feeling",4,Noun,272
记者,jìzhě,journalist,4,Noun,273
无,wú,not to have,4,Verb,275
五,wǔ,five,1,Numeral,276
号,hào,"[day number in a date], number (in a series)",1,Numeral,277
其实,qíshí,"actually, in fact",3,Adverb,280
事情,shìqing,"affair, business, matter, thing",2,Noun,281
连,lián,even,4,Preposition,287
后来,hòulái,afterwards; later,3,Noun,289
则,zé,(conjunction used to express contrast with a previous clause) but,5,Conjunction,290
正,zhèng,just (right); straight; correct,5,Adjective,294
住,zhù,to live (in/at),1,Verb,295
每,měi,every,2,Demonstrative Pronoun,297
其他,qítā,other,3,Demonstrative Pronoun,300
水,shuǐ,water,1,Noun,301
过去,guòqù,(in the) past; to go over (to a place),3,Noun,302
路,lù,"road, path, way",2,Noun,303
路,lù,"road, path, way",3,Noun,303
同学,tóngxué,shoolmate,1,Noun,304
回,huí,to return,1,Verb,305
讲,jiǎng,to speak,3,Verb,306
教育,jiàoyù,education,4,Noun,307
教育,jiàoyù,to educate,4,Verb,307
死,sǐ,"rigid, inflexible",4,Adjective,308
死,sǐ,to die,4,Verb,308
字,zì,character,1,Noun,310
文化,wénhuà,culture,3,Noun,312
呀,ya,[modal particle equivalent often used to express surprise or enthusiasm],4,Particle,313
特别,tèbié,special,3,Adverb,314
放,fàng,"to put, to place; to release",3,Verb,315
块,kuài,[measure word for pieces],1,Measure Word,316
快,kuài,quick,2,Adjective,317
成为,chéngwéi,to be,4,Verb,318
当然,dāngrán,"of course, naturally",3,Adverb,319
要求,yāoqiú,demand(s),3,Noun,320
要求,yāoqiú,to demand,3,Verb,320
花,huā,flower,3,Noun,321
花,huā,"to spend (money, time)",3,Verb,321
拉,lā,to pull,4,Verb,322
门,mén,"door, gate",2,Noun,323
门,mén,"door, gate",3,Noun,323
妈妈,māma,mom,1,Noun,324
许多,xǔduō,"many, numerous",4,Numeral,326
楼,lóu,building; floor (of a building),3,Noun,328
出现,chūxiàn,to appear,3,Verb,329
出现,chūxiàn,to appear,4,Verb,329
重要,zhòngyào,important,3,Adjective,330
通过,tōngguò,"via, by means of",4,Preposition,331
市场,shìchǎng,market,5,Noun,332
于是,yúshì,thereupon,4,Conjunction,334
发,fā,to send out,3,Verb,335
别,bié,do not (do something),2,Adverb,337
别,bié,do not (do something),4,Adverb,337
晚上,wǎnshang,evening,2,Verb,338
一切,yīqiè,everything,4,Preposition,340
活动,huódòng,"activity, event",4,Noun,341
主要,zhǔyào,main; mainly,3,Adjective,344
经济,jīngjì,economy,4,Noun,345
同时,tóngshí,at the same time,4,Conjunction,346
研究,yánjiū,research,4,Noun,347
研究,yánjiū,to research,4,Verb,347
女,nǚ,female,2,Noun,348
关系,guānxi,"relation, relationship; to concern",3,Noun,349
十,shí,ten,1,Numeral,350
外,wài,outside,2,Noun,352
由于,yóuyú,since; because,4,Conjunction,354
如何,rúhé,how,5,Interrogative Pronoun,355
段,duàn,"[measure word for length (of time), paragraph]",3,Measure Word,357
作者,zuòzhě,"author, writer",4,Noun,358
一般,yībān,in general; average,3,Adjective,359
发生,fāshēng,to happen,4,Verb,360
任何,rènhé,any,4,Preposition,362
企业,qǐyè,"enterprise, business",5,Noun,363
行,xíng,"all right, OK",4,Verb,364
方面,fāngmiàn,aspect,4,Noun,365
电影,diànyǐng,movie,1,Noun,367
电影,diànyǐng,"movie, film",3,Noun,367
小时,xiǎoshí,hour,2,Noun,368
首,shǒu,[measure word for songs and poems],5,Measure Word,369
片,piān,[measure word for sheets or slices],5,Measure Word,371
别人,biérén,other people,3,Noun,372
城市,chéngshì,city,3,Noun,375
必须,bìxū,must,3,Adverb,376
各,gè,"each, every",4,Preposition,377
使用,shǐyòng,to use; to employ; to apply; to make use of,4,Verb,382
发表,fābiǎo,to issue (a statement),5,Verb,383
甚至,shènzhì,even,4,Conjunction,384
准备,zhǔnbèi,preparation(s),2,Noun,386
准备,zhǔnbèi,to prepare,2,Verb,386
对于,duìyú,"regarding, with regards to",4,Preposition,387
作为,zuòwéi,to act as...,5,Verb,391
先生,xiānsheng,sir,1,Noun,393
先生,xiānsheng,Mr.; husband; sir,3,Noun,393
往,wǎng,towards,2,Preposition,394
眼睛,yǎnjing,eye,2,Noun,395
眼睛,yǎnjing,eye,3,Noun,395
结果,jiéguǒ,"result; in the end, as a result",4,Noun,398
管理,guǎnlǐ,management,4,Noun,402
管理,guǎnlǐ,to manage; management,4,Verb,402
突然,tūrán,sudden; suddenly,3,Adjective,403
半,bàn,half,3,Numeral,404
选择,xuǎnzé,choice,3,Noun,407
选择,xuǎnzé,to choose,3,Verb,407
米,mǐ,(uncooked) rice; meter,3,Noun,408
进,jìn,"to enter, to go in",2,Verb,409
难,nán,difficult,3,Adjective,410
看见,kànjiàn,to see,1,Verb,413
父亲,fùqin,father,4,Noun,414
其中,qízhōng,among,4,Noun,415
多少,duōshǎo,how much,1,Interrogative Pronoun,416
场,cháng,[measure word for sports or entertainmnet events],4,Measure Word,417
声音,shēngyīn,"sound, voice",3,Noun,418
或者,huòzhě,or [in statements],3,Conjunction,420
谈,tán,to talk,4,Verb,421
内容,nèiróng,content,4,Noun,422
完全,wánquán,completely; totally,4,Adverb,424
读,dú,to read,1,Verb,425
考试,kǎoshì,"test, exam",2,Noun,426
文章,wénzhāng,"essay, article",4,Noun,427
玩,wán,to play (with); to have fun,2,Verb,428
些,xiē,some,1,Measure Word,429
刚,gāng,just (did something),4,Adverb,430
人员,rényuán,staff personnel,5,Noun,431
六,liù,six,1,Numeral,433
参加,cānjiā,"to participate in, to attend",3,Verb,434
以及,yǐjí,as well as,5,Conjunction,436
少,shǎo,few,1,Adjective,437
因此,yīncǐ,"therefore, thus, as a result",4,Conjunction,438
送,sòng,"to give (a gift); to deliver, to send; to see off (a person)",2,Verb,440
历史,lìshǐ,history,3,Noun,442
母亲,mǔqīn,mother,4,Noun,443
只要,zhǐyào,if only;so long as,4,Conjunction,444
里面,lǐmiàn,inside,1,Noun,446
脸,liǎn,face,3,Noun,447
终于,zhōngyú,at last; in the end; finally; eventually,3,Adverb,448
喝,hē,to drink,1,Verb,451
技术,jìshù,"technology; skill, technique",4,Noun,452
以前,yǐqián,"before, previous; ago",3,Noun,453
口,kǒu,[measure word for bites of food or people in a household],3,Measure Word,454
口,kǒu,mouth,3,Noun,454
继续,jìxù,to continue,4,Verb,455
影响,yǐngxiǎng,an influence,3,Noun,456
也许,yěxǔ,"perhaps, maybe",4,Adverb,458
决定,juédìng,to decide,3,Verb,460
方式,fāngshì,"method, way",5,Noun,461
总是,zǒngshì,always,3,Adverb,462
了解,liǎojiě,to be fully familiar with,3,Verb,463
表示,biǎoshì,"to show, to indicate",3,Verb,467
表示,biǎoshì,"to show, to indicate",4,Verb,467
故事,gùshi,story,3,Noun,468
信息,xìnxī,information; news; message,4,Noun,469
干,gàn,to work; to do,4,Verb,470
越,yuè,to surpass; the more...,3,Adverb,471
正在,zhèngzài,in the process of (doing something),2,Adverb,473
原来,yuánlái,"formerly, original",4,Adjective,474
红,hóng,red; popular; revolutionary,2,Adjective,475
提供,tígōng,to provide,4,Verb,476
国际,guójì,international,4,Noun,478
无法,wúfǎ,to have no way to,4,Verb,480
专业,zhuānyè,professional,4,Adjective,481
专业,zhuānyè,"specialty, major",4,Noun,481
新闻,xīnwén,news,3,Noun,482
语言,yǔyán,language,4,Noun,484
信,xìn,letter; to believe,3,Noun,487
篇,piān,[measure word for essays and other written pieces],4,Measure Word,491
儿子,érzi,son,1,Noun,494
一边,yībiān,one side; while doing...,3,Conjunction,495
包括,bāokuò,"to include, to involve",5,Verb,497
目前,mùqián,currently,5,Noun,498
离开,líkāi,to leave,3,Verb,500
介绍,jièshào,to introduce,2,Verb,504
哪,nǎ,which,1,Interrogative Pronoun,505
认识,rènshi,to be familiar with,1,Verb,506
爸爸,bàba,dad,1,Noun,507
关于,guānyú,"about, concerning, regarding",3,Preposition,510
精神,jīngshén,"energy, spirits",5,Noun,512
组织,zǔzhī,organization,5,Noun,514
组织,zǔzhī,to organize,5,Verb,514
音乐,yīnyuè,music,3,Noun,515
能力,nénglì,ability,4,Noun,516
机会,jīhuì,opportunity,3,Noun,518
相信,xiāngxìn,to believe (that),3,Verb,519
注意,zhùyì,to pay attention,3,Verb,520
似乎,sìhū,"to seem as if, seemingly",5,Adverb,522
除了,chúle,except for,3,Preposition,523
份,fèn,"a portion, a copy, a set [measure word]",4,Measure Word,525
分钟,fēnzhōng,minute,1,Noun,526
卖,mài,to sell,2,Verb,528
卖,mài,to sell,3,Verb,528
几乎,jīhū,"almost, nearly",3,Adverb,530
方法,fāngfǎ,method,4,Noun,531
回答,huídá,"to reply, to answer; the answer",3,Verb,533
联系,liánxì,contact,4,Noun,534
联系,liánxì,to contact,4,Verb,534
原因,yuányīn,"cause, reason",4,Noun,536
页,yè,page,4,Measure Word,538
说话,shuōhuà,"to speak (words), to talk",2,Verb,540
明白,míngbai,"to understand, to realize",3,Verb,541
指,zhǐ,to refer to,4,Verb,543
是否,shìfǒu,whether or not,4,Adverb,545
极,jí,extremely,3,Adverb,549
黑,hēi,"black; dark; shady, illegal",2,Adjective,550
产品,chǎnpǐn,product,5,Noun,551
真正,zhēnzhèng,"real, true",4,Adjective,552
过程,guòchéng,course; process,4,Noun,553
以为,yǐwéi,to (mistakenly) think (that),3,Verb,554
以为,yǐwéi,to (mistakenly) think (that),4,Verb,554
座,zuò,"[measure word for bridges, mountains, buildings]",4,Measure Word,555
近,jìn,"nearby, close",2,Adjective,559
自然,zìrán,"naturally, certainly",4,Adverb,560
自然,zìrán,natural,4,Noun,560
西,xī,west,3,Noun,561
经过,jīngguò,"to pass, to go through",3,Verb,562
支持,zhīchí,support,4,Noun,565
支持,zhīchí,to support,4,Verb,565
搞,gǎo,"to do, to make",5,Verb,566
十分,shífēn,"very, extremely",4,Adverb,567
克,kè,gram (g),5,Measure Word,568
政府,zhèngfǔ,government,5,Noun,569
身体,shēntǐ,body; health,2,Noun,571
环境,huánjìng,"environment, circumstances, surroundings",3,Noun,573
整个,zhěng gè,the entire (thing),5,Adjective,574
穿,chuān,"to wear, to put on; to pierce",2,Verb,575
八,bā,eight,1,Numeral,576
拍,pāi,"to pat, to clap, to slap",5,Verb,578
衣服,yīfu,cloth,1,Noun,579
衣服,yīfu,clothing,3,Noun,579
七,qī,seven,1,Numeral,583
倒,dào,"yet, actually (used to indicate contrast)",4,Adverb,586
倒,dǎo,to fall over,4,Verb,586
接,jiē,"to receive, to pick up",3,Verb,589
数,shǔ,to count,5,Verb,590
经常,jīngcháng,often,3,Adverb,591
下午,xiàwǔ,afternoon,1,Noun,593
成功,chénggōng,successful,4,Adjective,595
成功,chénggōng,success,4,Noun,595
成功,chénggōng,to succeed,4,Verb,595
名字,míngzi,name,1,Noun,597
系统,xìtǒng,system,5,Noun,599
容易,róngyì,easy,3,Adjective,602
好像,hǎoxiàng,to seem like; to seem to be,4,Adverb,603
直接,zhíjiē,directly,4,Adjective,605
另外,lìngwài,in addition,4,Conjunction,606
网络,wǎngluò,internet,5,Noun,608
解决,jiějué,to resolve,3,Verb,609
地区,dìqū,region,5,Noun,612
白,bái,white,2,Adjective,613
根本,gēnběn,(not) at all,5,Adverb,614
台,tái,[measure word for computers],4,Measure Word,615
最好,zuìhǎo,(you) had better (do something),4,Adverb,616
接受,jiēshòu,to accept,4,Verb,619
肯定,kěndìng,certainly,4,Adverb,622
作品,zuòpǐn,work (of art),5,Noun,623
远,yuǎn,far,2,Adjective,627
男,nán,male,2,Noun,628
非,fēi,non-,5,Adjective,629
阅读,yuèdú,to read,4,Verb,633
曾经,céngjīng,"once, ever",5,Adverb,637
设计,shèjì,a design,5,Noun,638
设计,shèjì,to design,5,Verb,638
记得,jìde,to remember,3,Verb,640
马,mǎ,horse,3,Noun,645
靠,kào,to depend on,5,Verb,647
政治,zhèngzhì,politics,5,Noun,648
样子,yàngzi,appearance,4,Noun,650
存在,cúnzài,to exist,5,Verb,651
双,shuāng,"pair, [measure word for pairs of things]",3,Measure Word,652
手机,shǒujī,"cell phone, mobile phone",2,Noun,654
手机,shǒujī,"cell phone, mobile phone",3,Noun,654
清楚,qīngchu,clear,3,Adjective,655
单位,dānwèi,"unit (of measure), work unit",5,Noun,656
根据,gēnjù,"according to, based on",3,Preposition,657
领导,lǐngdǎo,leader,5,Noun,658
领导,lǐngdǎo,to lead,5,Verb,658
女儿,nǚ'ér,daughter,1,Noun,661
左右,zuǒyòu,left and right; approximately,4,Noun,662
生命,shēngmìng,(a) life (which you lose when you die),4,Noun,663
代表,dàibiǎo,"representative, delegate",5,Noun,665
代表,dàibiǎo,to represent,5,Verb,665
转,zhuǎn,to revolve; to turn,4,Verb,667
班,bān,"class, team; work",3,Noun,668
价格,jiàgé,price,4,Noun,669
实在,shízài,actually,4,Adverb,670
套,tào,"[measure word for outfits, housing, set of things]",5,Measure Word,672
简单,jiǎndān,simple,3,Adjective,673
教,jiāo,to teach,3,Verb,674
帮助,bāngzhù,help; to help,2,Verb,675
高兴,gāoxìng,happy,1,Adjective,677
高兴,gāoxìng,happy,3,Adjective,677
永远,yǒngyuǎn,"forever, eternal",4,Adverb,678
知识,zhīshi,knowledge,4,Noun,679
东,dōng,east,3,Noun,680
不断,bùduàn,"unceasing, continuous",5,Adverb,681
医院,yīyuàn,hospital,1,Noun,684
低,dī,low,3,Adjective,685
低,dī,low,4,Adjective,685
哭,kū,to cry,3,Verb,688
思想,sīxiǎng,thinking,5,Noun,690
相关,xiāngguān,related,5,Adjective,691
毕业,bìyè,to graduate,4,Verb,693
理解,lǐjiě,to comprehend,4,Verb,694
来自,láizì,to come from,4,Verb,697
网站,wǎngzhàn,website,4,Noun,698
安全,ānquán,safe,4,Adjective,700
安全,ānquán,safety,4,Noun,700
挺,tǐng,rather; quite,4,Adverb,701
忙,máng,busy,2,Adjective,702
全部,quánbù,"whole, entire",4,Noun,703
自由,zìyóu,free (as a bird),5,Adjective,704
自由,zìyóu,"freedom, liberty",5,Noun,704
努力,nǔlì,"to try hard, to strive",3,Adjective,706
家庭,jiātíng,household,5,Noun,707
部分,bùfen,"part, section",4,Noun,709
表现,biǎoxiàn,(personal) performance,5,Noun,711
表现,biǎoxiàn,"to show, to display",5,Verb,711
规定,guīdìng,"regulation, rule",4,Noun,712
规定,guīdìng,to make a regulation,4,Verb,712
留,liú,to leave (something for someone),4,Verb,713
意思,yìsi,meaning,2,Noun,715
提高,tígāo,to raise; to improve,3,Verb,716
层,céng,"[measure word for floor, level of a building]",3,Measure Word,719
重,zhòng,"heavy; strong (accent, scent, flavor, etc.)",4,Adjective,720
离,lí,to be distanced from,2,Verb,723
时代,shídài,"the age, the times",5,Noun,724
完成,wánchéng,to complete,3,Verb,725
换,huàn,to replace; to exchange,3,Verb,726
计划,jìhuà,plan; project; program,4,Noun,727
计划,jìhuà,to plan; to map out,4,Verb,727
房间,fángjiān,room,2,Noun,730
游戏,yóuxì,game,3,Noun,732
愿意,yuànyì,to be willing,3,Auxiliary Verb,735
愿意,yuànyì,to be willing (to do sth),3,Verb,735
电视,diànshì,television,1,Noun,736
电视,diànshì,"television, TV",3,Noun,736
基本,jīběn,fundamental,5,Adjective,738
电脑,diànnǎo,computer,1,Noun,739
电脑,diànnǎo,computer,3,Noun,739
爱情,àiqíng,love (romantic),4,Noun,740
百,bǎi,hundred,2,Numeral,741
年代,niándài,"an ""era"" (non-specific timerame)",5,Noun,742
夜,yè,night,5,Noun,743
辆,liàng,[measure word for cars],3,Measure Word,747
项,xiàng,[measure word for formal programs],5,Measure Word,748
马上,mǎshàng,right away; on horseback,3,Adverb,749
结束,jiéshù,to be finished,3,Verb,750
标准,biāozhǔn,standard,4,Noun,751
九,jiǔ,nine,1,Numeral,754
资料,zīliào,information,5,Noun,757
包,bāo,bag,3,Noun,758
日子,rìzi,(special) day,5,Noun,759
光,guāng,"only, merely",4,Adverb,763
艺术,yìshù,art,4,Noun,764
快乐,kuàilè,happy,2,Adjective,765
项目,xiàngmù,project,5,Noun,767
责任,zérèn,responsibility,4,Noun,771
并且,bìngqiě,"and besides, moreover",4,Conjunction,772
条件,tiáojiàn,"conditions, circumstances, qualifications",4,Noun,773
水平,shuǐpíng,"level (of ability, etc.)",3,Noun,774
建设,jiànshè,construction,5,Noun,775
建设,jiànshè,to build,5,Verb,775
根,gēn,root,5,Noun,776
行为,xíngwéi,"behavior, conduct, actions",5,Noun,777
办法,bànfǎ,"way of doing, method",3,Noun,778
获得,huòdé,to obtain,4,Verb,779
法律,fǎlǜ,law,4,Noun,780
昨天,zuótiān,yesterday,1,Noun,782
菜,cài,vegetable,1,Noun,784
菜,cài,vegetable; dish (of food); cuisine (of a region),3,Noun,784
然而,ránér,"however, but",4,Conjunction,786
狗,gǒu,dog,1,Noun,788
狗,gǒu,dog,3,Noun,788
提,tí,"to raise (an issue), to mention",4,Verb,792
建议,jiànyì,"suggestion, recommendation",4,Noun,793
建议,jiànyì,"to suggest, to recommend",4,Verb,793
医生,yīshēng,doctor,1,Noun,794
比如,bǐrú,for example,4,Verb,797
谢谢,xièxie,thank you; to thank,1,Verb,798
课,kè,"lesson, class",2,Noun,799
媒体,méitǐ,the media,5,Noun,800
画,huà,"picture, painting",3,Noun,802
画,huà,to draw,3,Verb,802
题,tí,(math) problem,2,Noun,803
幸福,xìngfú,happy (in the fairytale sense),4,Adjective,804
幸福,xìngfú,happiness,4,Noun,804
懂,dǒng,to understand,2,Verb,805
懂,dǒng,to understand,3,Verb,805
掉,diào,to fall,4,Verb,806
教授,jiàoshòu,professor,4,Noun,809
产生,chǎnshēng,to produce,5,Verb,810
最近,zuìjìn,"recently, these days",3,Noun,817
部门,bùmén,department,5,Noun,820
完,wán,to finish,2,Verb,821
漂亮,piàoliang,pretty,1,Adjective,822
广告,guǎnggào,advertisement,4,Noun,824
说明,shuōmíng,"explanation, directions",4,Noun,825
说明,shuōmíng,"to indicate, to show",4,Verb,825
称,chēng,to weigh,5,Verb,826
